"";"bxa";"ppi";"pcd";"1o";"2o";"3o";"4o";"5o";"6o";"7o";"8o";"9o"
"1a";1;2;4;"A0";"L05";"L01";"L06";"L02";"L13";"L09";"L14";"L10"
"2a";1;4;2;"A0";"L05";"L01";"L13";"L09";"L06";"L02";"L14";"L10"
"3a";2;1;4;"A0";"L05";"L06";"L01";"L02";"L13";"L14";"L09";"L10"
"4a";2;4;1;"A0";"L05";"L13";"L01";"L09";"L06";"L14";"L02";"L10"
"5a";4;1;2;"A0";"L05";"L06";"L13";"L14";"L01";"L02";"L09";"L10"
"6a";4;2;1;"A0";"L05";"L13";"L06";"L14";"L01";"L09";"L02";"L10"
"7a";2;3;4;"A0";"L05";"L01";"L06";"L13";"L02";"L09";"L14";"L10"
"8a";2;4;3;"A0";"L05";"L01";"L13";"L06";"L09";"L02";"L14";"L10"
"9a";3;2;4;"A0";"L05";"L06";"L01";"L13";"L02";"L14";"L09";"L10"
"10a";3;4;2;"A0";"L05";"L13";"L01";"L06";"L09";"L14";"L02";"L10"
"11a";4;2;3;"A0";"L05";"L06";"L13";"L01";"L14";"L02";"L09";"L10"
"12a";4;3;2;"A0";"L05";"L13";"L06";"L01";"L14";"L09";"L02";"L10"
"1b";-1;-2;-4;"L10";"L14";"L09";"L13";"L02";"L06";"L01";"L05";"A0"
"2b";-1;-4;-2;"L10";"L14";"L02";"L06";"L09";"L13";"L01";"L05";"A0"
"3b";-2;-1;-4;"L10";"L09";"L14";"L13";"L02";"L01";"L06";"L05";"A0"
"4b";-2;-4;-1;"L10";"L02";"L14";"L06";"L09";"L01";"L13";"L05";"A0"
"5b";-4;-1;-2;"L10";"L09";"L02";"L01";"L14";"L13";"L06";"L05";"A0"
"6b";-4;-2;-1;"L10";"L02";"L09";"L01";"L14";"L06";"L13";"L05";"A0"
"7b";-2;-3;-4;"L10";"L14";"L09";"L02";"L13";"L06";"L01";"L05";"A0"
"8b";-2;-4;-3;"L10";"L14";"L02";"L09";"L06";"L13";"L01";"L05";"A0"
"9b";-3;-2;-4;"L10";"L09";"L14";"L02";"L13";"L01";"L06";"L05";"A0"
"10b";-3;-4;-2;"L10";"L02";"L14";"L09";"L06";"L01";"L13";"L05";"A0"
"11b";-4;-2;-3;"L10";"L09";"L02";"L14";"L01";"L13";"L06";"L05";"A0"
"12b";-4;-3;-2;"L10";"L02";"L09";"L14";"L01";"L06";"L13";"L05";"A0"
